Ticker,Current Price,Predicted Price,Growth %,Confidence Score,Safety Check,Timestamp,Volume Z-Score
ACVA,5.95,6.73,13.18,63.2,⚠️,2026-05-24 08:29:54,-0.6638
ADTX,0.51,72.43,13963.16,0.13,⚠️,2026-05-24 08:30:01,14016.0076
AEHL,1.51,2.09,38.58,18.67,⚠️,2026-05-24 08:30:05,16.3401
AIRS,5.33,6.12,14.81,59.91,⚠️,2026-05-24 08:30:33,0.3649
AKAN,27.12,31.78,17.19,31.54,⚠️,2026-05-24 08:30:37,187.4845
AKBA,1.02,1.12,10.11,60.1,⚠️,2026-05-24 08:30:37,-0.5819
AKTX,18.27,22.26,21.81,32.17,⚠️,2026-05-24 08:30:38,7131.9693
ATYR,0.49,0.54,10.61,49.3,⚠️,2026-05-24 08:32:11,0.2238
AVPT,10.29,11.38,10.58,68.37,⚠️,2026-05-24 08:32:22,-0.8761
AVXL,2.69,3.13,16.18,56.25,⚠️,2026-05-24 08:32:24,0.0641
BLNE,1.18,1.34,13.95,45.82,⚠️,2026-05-24 08:33:37,-0.6705
BMBL,3.11,3.43,10.35,65.87,⚠️,2026-05-24 08:33:41,-1.0495
BRO,57.82,64.07,10.82,62.6,⚠️,2026-05-24 08:34:04,-0.2833
BTGO,6.93,7.92,14.28,49.45,⚠️,2026-05-24 08:34:15,9.368
CABO,52.28,58.57,12.03,45.95,⚠️,2026-05-24 08:34:36,4.3976
CCOI,18.16,20.18,11.15,71.0,⚠️,2026-05-24 08:35:06,-0.8998
CREG,0.39,0.43,10.26,29.54,⚠️,2026-05-24 08:36:45,23.9639
CRVL,62.74,70.33,12.1,76.53,⚠️,2026-05-24 08:36:54,0.213
CSHR,5.27,5.81,10.2,74.8,⚠️,2026-05-24 08:36:57,-1.2512
ELPW,0.88,10.71,1112.82,0.98,⚠️,2026-05-24 08:39:05,344.8424
EPC,17.66,20.65,16.92,70.7,⚠️,2026-05-24 08:39:24,-0.6449
EZGO,1.62,9.69,498.21,1.79,⚠️,2026-05-24 08:40:02,1392.6038
FATN,3.78,4.66,23.37,52.68,⚠️,2026-05-24 08:40:07,3.6641
FWRD,8.8,11.12,26.31,39.28,⚠️,2026-05-24 08:41:21,1.8697
GDC,0.11,0.14,32.12,10.95,⚠️,2026-05-24 08:41:34,637.0198
GMM,0.27,0.74,174.76,13.25,⚠️,2026-05-24 08:42:07,1383.4744
GOVX,3.64,4.32,18.56,41.22,⚠️,2026-05-24 08:42:16,1053.1219
HAO,1.34,4.67,248.59,4.84,✅,2026-05-24 08:42:46,3448.5752
HCKT,11.11,12.43,11.88,59.65,⚠️,2026-05-24 08:42:53,1.2347
HCWB,2.89,3.47,20.04,39.46,⚠️,2026-05-24 08:42:55,314.3484
HSLV,5.16,5.96,15.44,78.75,⚠️,2026-05-24 08:43:32,0.1568
HUBC,0.12,4.89,4155.04,0.92,⚠️,2026-05-24 08:43:39,8619.5838
JDZG,3.7,4.38,18.47,28.02,⚠️,2026-05-24 08:45:12,656.7668
JJSF,74.55,82.92,11.22,74.55,⚠️,2026-05-24 08:45:17,-0.3982
JYD,0.77,2.97,285.86,10.39,⚠️,2026-05-24 08:45:28,14.0163
KLC,3.58,4.08,13.95,61.17,⚠️,2026-05-24 08:45:45,-0.4121
KMPR,29.71,33.5,12.76,67.75,⚠️,2026-05-24 08:45:48,-0.4378
LABT,0.71,2.27,220.3,16.01,⚠️,2026-05-24 08:46:15,0.4669
LICN,0.84,0.96,13.95,15.58,⚠️,2026-05-24 08:46:39,20.8301
LMRI,8.0,8.89,11.16,52.94,⚠️,2026-05-24 08:46:49,0.0326
MRSH,164.11,201.9,23.03,71.21,✅,2026-05-24 08:48:41,-0.2259
NGEN,2.08,3.12,49.85,48.24,⚠️,2026-05-24 08:49:40,173.712
NIQ,8.55,11.83,38.35,61.42,✅,2026-05-24 08:49:49,0.0805
NIVF,1.02,1.59,55.52,8.47,⚠️,2026-05-24 08:49:49,173.8272
NSP,32.09,35.85,11.71,68.67,⚠️,2026-05-24 08:50:17,-0.6529
PESI,8.95,9.95,11.13,66.55,⚠️,2026-05-24 08:52:14,-0.2047
PHGE,0.82,1.45,77.58,17.08,⚠️,2026-05-24 08:52:26,232.2525
PSIX,38.87,45.6,17.32,50.6,⚠️,2026-05-24 08:53:19,0.2514
PUSA,3.58,4.01,12.02,64.3,⚠️,2026-05-24 08:53:29,1.4412
QNTM,9.24,10.3,11.49,46.47,⚠️,2026-05-24 08:53:40,7.0446
RUBI,0.71,3.15,344.89,0.85,⚠️,2026-05-24 08:54:51,80.7749
SAGT,1.05,1.19,13.01,48.33,⚠️,2026-05-24 08:55:06,0.8308
SENS,6.34,7.33,15.54,69.09,⚠️,2026-05-24 08:55:36,1.5409
SFM,86.71,101.75,17.35,66.4,⚠️,2026-05-24 08:55:42,0.1264
SNBR,1.71,2.13,24.56,28.93,⚠️,2026-05-24 08:56:25,0.9454
TDIC,0.44,0.63,43.88,17.02,⚠️,2026-05-24 08:57:53,113.0904
TIGR,4.36,5.44,24.71,60.31,⚠️,2026-05-24 08:58:13,40.043
TLSI,3.26,3.93,20.53,56.01,⚠️,2026-05-24 08:58:21,3.6559
UCAR,1.46,1.82,24.63,29.32,⚠️,2026-05-24 08:59:19,177.8746
UZX,0.45,0.56,24.8,28.04,⚠️,2026-05-24 08:59:51,112.9665
VCIG,1.33,7.33,451.16,2.68,⚠️,2026-05-24 08:59:56,1595.593
VRSK,171.11,226.82,32.56,60.8,✅,2026-05-24 09:00:27,0.5549
WIX,53.19,62.81,18.08,51.5,⚠️,2026-05-24 09:01:04,0.3352
WNW,3.9,4.92,26.12,40.8,⚠️,2026-05-24 09:01:13,1482.9098
WOK,0.11,0.65,476.89,0.15,⚠️,2026-05-24 09:01:13,11265.4636
WPP,18.77,23.93,27.47,56.42,⚠️,2026-05-24 09:01:16,0.4144
WTF,3.13,3.51,12.08,61.84,⚠️,2026-05-24 09:01:24,9.9275
XGN,4.26,4.75,11.57,63.87,⚠️,2026-05-24 09:01:37,1.0508
ZS,182.37,204.23,11.99,71.81,⚠️,2026-05-24 09:02:10,2.2836
6962.TW,39.85,47.03,18.02,67.18,⚠️,2026-05-24 09:10:36,3.9218
