title;name;code;country;timezone
"Bolsas y Mercados Argentinos";"BCBA";"XBUE";"Argentina";"America/Argentina/Buenos_Aires"
"Australian Securities Exchange";"ASX";"XASX";"Australia";"Australia/Sydney"
"Cboe Australia";"CXA";"CXAC";"Australia";"Australia/Sydney"
"Vienna Stock Exchange";"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext Brussels";"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"Botswana Stock Exchange";"BSE";"XBOT";"Botswana";"Africa/Gaborone"
"B3 Bovespa";"Bovespa";"BVMF";"Brazil";"America/Paramaribo"
"Canadian Securities Exchange";"CSE";"XCNQ";"Canada";"America/Toronto"
"TSX Venture Exchange";"TSXV";"XTSX";"Canada";"America/Toronto"
"Toronto Stock Exchange";"TSX";"XTSE";"Canada";"America/Toronto"
"Cboe Canada";"NEO";"NEOE";"Canada";"America/Toronto"
"Bolsa de Comercio de Santiago";"BVS";"XSGO";"Chile";"America/Santiago"
"Shenzhen Stock Exchange";"SZSE";"XSHE";"China";"Asia/Shanghai"
"Shanghai Stock Exchange";"SSE";"XSHG";"China";"Asia/Shanghai"
"Bolsa de Valores de Colombia";"BVC";"XBOG";"Colombia";"America/New_York"
"Prague Stock Exchange";"PSE";"XPRA";"Czech Republic";"Europe/Prague"
"Nasdaq Copenhagen";"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"Egyptian Exchange";"EGX";"XCAI";"Egypt";"Africa/Cairo"
"Nasdaq Tallinn";"OMXT";"XTAL";"Estonia";"Europe/Tallinn"
"Nasdaq Helsinki";"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext Paris";"Euronext";"XPAR";"France";"Europe/Paris"
"Boerse Stuttgart";"XSTU";"XSTU";"Germany";"Europe/Berlin"
"Frankfurt Stock Exchange (Xetra)";"XETR";"XETR";"Germany";"Europe/Berlin"
"Frankfurt Stock Exchange";"FSX";"XFRA";"Germany";"Europe/Berlin"
"Börse Berlin";"XBER";"XBER";"Germany";"Europe/Berlin"
"Börse Hannover";"XHAN";"XHAN";"Germany";"Europe/Berlin"
"Börse München";"Munich";"XMUN";"Germany";"Europe/Berlin"
"Börse Düsseldor";"XDUS";"XDUS";"Germany";"Europe/Berlin"
"Börse Hamburg";"XHAM";"XHAM";"Germany";"Europe/Berlin"
"Athens Stock Exchange";"ASE";"ASEX";"Greece";"Europe/Athens"
"Hong Kong Stock Exchange";"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"Budapest Stock Exchange";"BSE";"XBUD";"Hungary";"Europe/Budapest"
"Nasdaq Iceland";"ICEX";"XICE";"Iceland";"Atlantic/Reykjavik"
"National Stock Exchange of India";"NSE";"XNSE";"India";"Asia/Kolkata"
"Bombay Stock Exchange";"BSE";"XBOM";"India";"Asia/Kolkata"
"Indonesia Stock Exchange";"IDX";"XIDX";"Indonesia";"Asia/Jakarta"
"Irish Stock Exchange - All Market";"ISE";"XDUB";"Ireland";"Europe/Dublin"
"Tel Aviv Stock Exchange";"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"Euronext Milan";"MTA";"XMIL";"Italy";"Europe/Rome"
"Jamaica Stock Exchange";"JSE";"XJAM";"Jamaica";"America/Jamaica"
"Tokyo Stock Exchange";"JPX";"XJPX";"Japan";"Asia/Tokyo"
"Sapporo Securities Exchange";"XSAP";"XSAP";"Japan";"Asia/Tokyo"
"Boursa Kuwait";"XKUW";"XKUW";"Kuwait";"Asia/Kuwait"
"Nasdaq Riga";"OMXR";"XRIS";"Latvia";"Europe/Riga"
"Nasdaq Vilnius";"OMXV";"XLIT";"Lithuania";"Europe/Vilnius"
"Bursa Malaysia";"MYX";"XKLS";"Malaysia";"Asia/Kuala_Lumpur"
"Mexican Stock Exchange";"BMV";"XMEX";"Mexico";"America/Swift_Current"
"Euronext Amsterdam";"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"New Zealand Stock Exchange";"NZX";"XNZE";"New Zealand";"Pacific/Auckland"
"Euronext Oslo";"OSE";"XOSL";"Norway";"Europe/Oslo"
"Pakistan Stock Exchange";"PSX";"XKAR";"Pakistan";"Asia/Karachi"
"Bolsa de Valores de Lima";"BVL";"XLIM";"Peru";"America/Lima"
"Philippine Stock Exchange";"PSE";"XPHS";"Philippines";"Asia/Manila"
"Warsaw Stock Exchange";"GPW";"XWAR";"Poland";"Europe/Warsaw"
"Euronext Lisbon";"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"Qatar Stock Exchange";"QE";"DSMD";"Qatar";"Asia/Qatar"
"Bucharest Stock Exchange";"BVB";"XBSE";"Romania";"Europe/Bucharest"
"Moscow Exchange";"MOEX";"MISX";"Russia";"Europe/Moscow"
"Saudi Exchange";"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"Singapore Exchange";"SGX";"XSES";"Singapore";"Asia/Singapore"
"Johannesburg Stock Exchange";"JSE";"XJSE";"South Africa";"Africa/Johannesburg"
"Korea Stock Exchange";"KRX";"XKRX";"South Korea";"Asia/Seoul"
"Korea Exchange (KOSDAQ)";"KOSDAQ";"XKOS";"South Korea";"Asia/Seoul"
"Korea New Exchange";"KONEX";"XKON";"South Korea";"Asia/Seoul"
"Bolsa de Madrid";"BME";"XMAD";"Spain";"Europe/Madrid"
"Nasdaq Stockholm";"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"SIX Swiss Exchange";"SIX";"XSWX";"Switzerland";"Europe/Zurich"
"Taiwan Stock Exchange";"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"Stock Exchange of Thailand";"SET";"XBKK";"Thailand";"Asia/Bangkok"
"Borsa İstanbul";"BIST";"XIST";"Turkey";"Europe/Istanbul"
"Abu Dhabi Securities Exchange";"ADX";"XADS";"United Arab Emirates";"Asia/Dubai"
"Dubai Financial Market";"DFM";"XDFM";"United Arab Emirates";"Asia/Dubai"
"London Stock Exchange";"LSE";"XLON";"United Kingdom";"Europe/London"
"AIM Stock Exchange";"LSE";"AIMX";"United Kingdom";"Europe/London"
"Cboe Europe Equities";"CBOE";"BCXE";"United Kingdom";"Europe/London"
"Expert Market";"OTC";"EXPM";"United States";"America/New_York"
"OTC Pink  Marketplace";"OTC";"PINX";"United States";"America/New_York"
"OTCQB Marketplace";"OTC";"OTCB";"United States";"America/New_York"
"OTCQX Marketplace";"OTC";"OTCQ";"United States";"America/New_York"
"CBOE BZX U.S. Equities Exchange";"CBOE";"BATS";"United States";"America/New_York"
"Nasdaq Capital Market";"NASDAQ";"XNCM";"United States";"America/New_York"
"Nasdaq/NMS (Global Market)";"NASDAQ";"XNMS";"United States";"America/New_York"
"Nasdaq/NGS (Global Select Market)";"NASDAQ";"XNGS";"United States";"America/New_York"
"NYSE Arca";"NYSE";"ARCX";"United States";"America/New_York"
"NYSE Mkt LLC";"NYSE";"XASE";"United States";"America/New_York"
"Nasdaq";"NASDAQ";"XNAS";"United States";"America/New_York"
"New York Stock Exchange, Inc.";"NYSE";"XNYS";"United States";"America/New_York"
"OTC Grey Market";"OTC";"PSGM";"United States";"America/New_York"
"Caracas Stock Exchange";"BVCC";"BVCA";"Venezuela";"America/Caracas"
